update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,closed_approach_penalty_mean,wait_reward_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C2C,36,56.86796489490971,0.6111111111111112,0.3888888888888889,0.0,0.25,0.1388888888888889,0.17028398314141668,0.2043407797697,-7.719971548067403e-05,-0.005186954113695174,-0.02181906098752226,0.0,0.0,0.0,0.0,0.24605291077728514,0.014704079995334112,0.6757708071027082,1.0,0.0,0.0,122.5,32.09105817476908,0.00013579381629824638,64.18272002538045,0.4370378255844116,0.009681398045965276,0.010709388304652142,0.21435546875,24.0,24.0,0.0,4.405704498291016,6.730160713195801,5.960464477539063e-08,-1.20064377784729,0.3010003864765167
2,8192,C2C,40,53.47013756819823,0.6,0.4,0.0,0.2,0.2,0.17558936029672623,0.21070723235607147,-0.00010477955028181893,-0.0042941071993299745,-0.020751036568242676,0.0,0.0,0.0,0.0,0.24980840368688167,0.015799098715040524,0.6846779793550013,,,,,34.74225044250488,-0.0037992673460394144,69.49296840031941,0.43555548290411633,0.003328884498841944,0.004769421728269663,0.06917317708333333,24.0,24.0,0.0,4.297143936157227,7.17904806137085,3.5762786865234375e-07,-1.2017959356307983,0.30065375566482544
3,12288,C2C,39,59.7094686134129,0.6666666666666666,0.3333333333333333,0.0,0.20512820512820512,0.1282051282051282,0.1780107178092294,0.21361286137107527,-8.87559299881104e-05,-0.004563076310158958,-0.02082708172734788,0.0,0.0,0.0,0.0,0.2542103384924465,0.017684092875984155,0.6933767060481841,,,,,34.67593955993652,-0.002074199146591127,69.35689385732015,0.43318288524945575,0.004384881227451842,0.004170769401146875,0.10587565104166667,24.0,24.0,0.0,4.993312835693359,6.709643363952637,3.5762786865234375e-07,-1.202864646911621,0.3003326654434204
4,16384,C2C,35,71.50029286102084,0.8,0.2,0.0,0.08571428571428572,0.11428571428571428,0.18377645766922796,0.22053174920307356,-7.427701936103401e-05,-0.004316051559033052,-0.02036305367148363,0.0,0.0,0.0,0.0,0.26074212521079926,0.015206434307283353,0.7108816678191943,,,,,32.15019249916077,-0.0023430517952268324,64.30593331654866,0.4313490688800812,0.004079568538145395,0.0025782229107183716,0.09537760416666667,24.0,24.0,0.0,5.931463241577148,5.461491584777832,-1.1920928955078125e-07,-1.20363187789917,0.3001022934913635
5,20480,C2C,39,62.174232310469236,0.6923076923076923,0.3076923076923077,0.0,0.10256410256410256,0.20512820512820512,0.18332862440729514,0.21999434928875417,-6.771337712416423e-05,-0.004211957018423919,-0.020590782996340755,0.0,0.0,0.0,0.0,0.2636447820143587,0.0180876388413243,0.716604781066053,1.0,0.0,0.0,117.6875,34.49545113245646,-0.0009775203264628847,68.99371941884358,0.4298555999994278,0.0037705464358926597,0.003587045140496533,0.08284505208333333,24.0,24.0,0.0,5.473331928253174,6.299580097198486,-2.384185791015625e-07,-1.2043992280960083,0.29987210035324097
