scenario,baseline,mode,success,order,duration,path_length,total_cost,min_gate_margin,max_speed,max_acceleration,mean_jerk,optimization_time
canonical_6,WaypointCenter,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,15.855287191119523,29.86940755128945,2606.460231516268,0.3368635229865312,4.620162697565085,12.398296911404712,10.343533706093675,0.0
canonical_6,StaticTOGT,static,False,G1->G6->G3->G2->G5->G4,20.96741595612896,28.004083402084664,22.141920116278726,-1.2557675063399256,2.5539036578239873,4.5422745896494465,3.8168412662787725,3.803687912004534
canonical_6,DynaTOGT,ordered_dynamic,True,G1->G6->G3->G2->G5->G4,23.025261250352877,30.79577177186788,24.406751069235025,0.022088266495421827,2.580505150427738,4.499942915469357,3.2666686029230414,3.2150265619857237
