update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,closed_approach_penalty_mean,wait_reward_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C1,194,-9.602811192922877,0.005154639175257732,0.9948453608247423,0.0,0.9948453608247423,0.0,-0.007860076394536009,-0.009432091673443211,0.0,-0.016732463558652565,-0.06412355592551194,0.0,0.0,0.0,0.0,0.0038524402606803674,0.0,0.3550009857265195,0.5625,0.4375,0.0,134.15625,10.65231760342916,-0.011355032950329283,21.328218936920166,0.4368123561143875,0.005647081768681043,0.007577989842502575,0.15568033854166666,24.0,24.0,0.0,-4.507469177246094,2.969486951828003,-0.005108237266540527,-1.2012426853179932,0.30082017183303833
2,8192,C1,136,-10.522901113020836,0.014705882352941176,0.9852941176470589,0.0,0.9852941176470589,0.0,-0.0014364623202709481,-0.0017237547843251377,0.0,-0.011392267291246368,-0.10474353974140971,0.0,0.0,0.0,0.0,0.011686212950435504,0.0,0.3615895220834773,,,,,7.655851980050405,-0.004178846953436732,15.32093103726705,0.43472957611083984,0.0024531199433113215,0.0019560316368369968,0.058349609375,24.0,24.0,0.0,-3.009795904159546,3.1475439071655273,-0.004166841506958008,-1.2019226551055908,0.30061569809913635
3,12288,C1,173,-6.07610648484403,0.08092485549132948,0.9190751445086706,0.0,0.9190751445086706,0.0,0.005142807465745136,0.006171368958894163,0.0,-0.012673510284633715,-0.06473571282713012,0.0,0.0,0.0,0.0,0.021930968002880035,0.0,0.35833067588419,,,,,20.20800232887268,-0.004999295614349346,40.42687209447225,0.4341326057910919,0.0031645884937461233,0.0027209840148619455,0.07242838541666667,24.0,24.0,0.0,-0.12574052810668945,6.3707661628723145,0.0006300806999206543,-1.2016743421554565,0.30069050192832947
4,16384,C1,127,-7.247793919320282,0.07874015748031496,0.9212598425196851,0.0,0.9212598425196851,0.0,0.006520258499222109,0.007824310199066532,0.0,-0.010892993343383353,-0.08719001460422988,0.0,0.0,0.0,0.0,0.02193008186636547,0.0,0.3539515344027677,,,,,15.883668263753256,-0.0031156596766474345,31.77443790435791,0.43448875844478607,0.0019693736646028506,0.003132716099571553,0.0390625,24.0,24.0,0.0,-0.8269650340080261,5.605626583099365,0.005363345146179199,-1.2017300128936768,0.3006736636161804
5,20480,C1,166,-2.704722515465332,0.1566265060240964,0.8433734939759037,0.0,0.8433734939759037,0.0,0.01394812717626337,0.01673775261151604,0.0,-0.011396243797533134,-0.06601531652694462,0.0,0.0,0.0,0.0,0.035113657920031474,0.0,0.36515270509880793,0.78125,0.21875,0.0,38.625,35.38090546925863,-0.0018682810089861353,70.7664171854655,0.4340890844662984,0.000399987759465148,0.0006664922351167964,0.0018717447916666667,24.0,24.0,0.0,1.8773207664489746,8.291244506835938,0.008031964302062988,-1.2020494937896729,0.3005776107311249
