update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C4,27,28.39150281651288,0.2222222222222222,0.7777777777777778,0.0,0.4074074074074074,0.37037037037037035,0.1777848214842379,0.21334178578108548,-1.627549526165239e-05,-0.009433609104792472,-0.020581810402018168,0.0,0.23625230482583673,0.000769637191657231,0.5608391221908278,0.5,0.5,0.0,160.5,62.000998179117836,-0.002077257299485306,124.00615119934082,-0.7621228694915771,0.005681993769636999,0.006725030199352962,0.13330078125,24.0,24.0,0.0,0.7201051712036133,11.114642143249512,-1.6450881958007812e-05,-1.7999999523162842,0.16529890894889832
2,8192,C4,23,41.63340097827558,0.21739130434782608,0.782608695652174,0.0,0.30434782608695654,0.4782608695652174,0.18019466998521239,0.21623360398225486,-1.3172278559068214e-05,-0.00960201610721988,-0.020847462216370335,0.0,0.23835272132304083,0.0007497705066914531,0.56514891527695,,,,,54.764355500539146,-0.00027375633362680674,109.52925872802734,-0.7621228694915771,0.004052078117335138,0.0058457173278535874,0.10009765625,24.0,24.0,0.0,1.3059039115905762,10.388288497924805,1.0132789611816406e-05,-1.7999999523162842,0.16529890894889832
3,12288,C4,21,55.79732395031829,0.3333333333333333,0.6666666666666666,0.0,0.23809523809523808,0.42857142857142855,0.18239090501447208,0.2188690860173665,-1.693401868396904e-05,-0.00818326581884359,-0.019026753905236546,0.0,0.24163786670435458,0.0005657337701283064,0.5710869274807919,,,,,47.9040158589681,-0.0008047163331260284,95.80964024861653,-0.7621228694915771,0.002774902287152751,0.0025592159036023077,0.059326171875,24.0,24.0,0.0,2.354734182357788,9.510491371154785,6.318092346191406e-06,-1.7999999523162842,0.16529890894889832
4,16384,C4,23,46.170298229532484,0.30434782608695654,0.6956521739130435,0.0,0.21739130434782608,0.4782608695652174,0.18371759325964376,0.22046111191157253,-1.6666163239278824e-05,-0.007777857200621104,-0.01871180300104243,0.0,0.24111855569531146,0.0007336124520692072,0.568259707537436,,,,,51.92600711186727,-0.0013613815923842292,103.85473728179932,-0.7621228694915771,0.0025730353239244628,0.0027380139775535404,0.053955078125,24.0,24.0,0.0,1.9359147548675537,10.012897491455078,5.185604095458984e-06,-1.7999999523162842,0.16529890894889832
5,20480,C4,21,60.23479933770793,0.3333333333333333,0.6666666666666666,0.0,0.2857142857142857,0.38095238095238093,0.18050642032176256,0.21660770438611507,-1.0568414392764677e-05,-0.008076038589591527,-0.01900517824070448,0.0,0.24012641643516874,0.0005660185291733334,0.5660698045383015,0.875,0.125,0.0,233.75,47.61348533630371,0.0004669485885339479,95.22603670756023,-0.7621228694915771,0.0032458509822390624,0.0036337614834944056,0.07356770833333333,24.0,24.0,0.0,2.272787094116211,9.499214172363281,3.6954879760742188e-06,-1.7999999523162842,0.16529890894889832
