update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,closed_approach_penalty_mean,wait_reward_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C3A,69,6.44274482490669,0.057971014492753624,0.9420289855072463,0.0,0.11594202898550725,0.8260869565217391,0.17905029028770514,0.2021749534163746,-0.0002100832427531713,-0.004920286358543481,-0.020975461100055093,-0.007087342148442987,-0.010325050894243758,-0.13169216645142232,0.03700369846261161,0.2566772248968666,0.021808110297740407,0.7111941033876974,0.3125,0.6875,0.0,98.5,70.50113884607951,0.0013577170902863145,141.00043233235678,0.43711141248544055,0.00559558015690224,0.0068926079948141705,0.12784830729166666,24.0,24.0,0.0,-4.630693435668945,10.959155082702637,5.364418029785156e-07,-1.2008225917816162,0.30094653367996216
2,8192,C3A,43,31.689438595793437,0.32558139534883723,0.6744186046511628,0.0,0.023255813953488372,0.6511627906976745,0.18250966450432315,0.20935231619747355,-0.00015617240962455977,-0.004819232994963166,-0.02122701412749765,-0.005320022588566645,-0.007680940588761585,-0.09060980604530479,0.027686265352019002,0.2643799596609746,0.02095506758842034,0.7260730216112279,,,,,43.407247384389244,0.0017584428035964568,86.81184800465901,0.4351177414258321,0.005663043808453949,0.004570951576170046,0.12540690104166666,24.0,24.0,0.0,0.9980651140213013,9.26398754119873,-1.6689300537109375e-06,-1.201920509338379,0.3006163239479065
3,12288,C3A,47,24.554292461469565,0.2127659574468085,0.7872340425531915,0.0,0.1276595744680851,0.6595744680851063,0.17966337985126302,0.20569462976579417,-0.0001852857183475862,-0.005807362034951606,-0.021846347346454787,-0.0056565275733009915,-0.010336397461560409,-0.09144618379275686,0.028463380174633863,0.25937944799141466,0.02577753816418705,0.7203254940786792,,,,,46.05901829401652,0.0006769695319235325,92.11755053202312,0.4332405428091685,0.005741070281146676,0.005142778662047931,0.13671875,24.0,24.0,0.0,-0.3695070147514343,9.590508460998535,-1.1920928955078125e-07,-1.2026755809783936,0.3003894090652466
4,16384,C3A,44,29.46965787572152,0.29545454545454547,0.7045454545454546,0.0,0.09090909090909091,0.6136363636363636,0.17803441066644154,0.2039486901104101,-0.00012832040927605702,-0.005095804909142904,-0.02107389558741706,-0.006014949500968215,-0.007998744242468093,-0.09865359472488071,0.035138173792269786,0.25637164437567245,0.018570046355203276,0.710946877106835,,,,,44.24472427368164,-0.0005424808866033951,88.49139563242595,0.4318034698565801,0.004033505929328385,0.004191128229649621,0.09391276041666667,24.0,24.0,0.0,0.5046004056930542,9.394092559814453,3.516674041748047e-06,-1.2034111022949219,0.300168514251709
5,20480,C3A,62,13.485269370247796,0.14516129032258066,0.8548387096774194,0.0,0.12903225806451613,0.7258064516129032,0.17532973733977997,0.1985505980236485,-0.00025671651990705863,-0.005662636177999997,-0.02194949969886112,-0.006116815272398527,-0.011357647993736463,-0.0974747154170352,0.03360588427750874,0.2523168717425561,0.02440706427663374,0.7047995602224546,0.75,0.25,0.0,122.25,59.99235693613688,-0.001851093489676714,119.9892765680949,0.43073882162570953,0.0022333143254703223,0.0026839242103354386,0.042643229166666664,24.0,24.0,0.0,-2.531810998916626,10.660734176635742,2.562999725341797e-06,-1.2036845684051514,0.30008652806282043
