update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,closed_approach_penalty_mean,wait_reward_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,24576,C1_5,187,-8.368084811983593,0.0,1.0,0.0,1.0,0.0,0.012787346379627706,0.015344815655553248,0.0,-0.015516329287697314,-0.053586276250781564,0.0,0.0,0.0,0.0,0.037012674508235935,0.0,0.3675634583498777,0.15625,0.84375,0.0,71.6875,3.6071445842583976,-0.00392360733045886,7.223002473513286,0.43304569522539776,0.0020371983337099664,0.002163490979000926,0.033854166666666664,24.0,24.0,0.0,-2.4314749240875244,2.192014455795288,0.08796578645706177,-1.202803373336792,0.3003513813018799
2,28672,C1_5,168,-8.280429561704691,0.0,1.0,0.0,1.0,0.0,0.016365773987490683,0.01963892878498882,0.0,-0.013244262532291483,-0.0583905574817527,0.0,0.0,0.0,0.0,0.0409441728882058,0.0,0.3683321996929294,,,,,2.6604725221792855,-0.0054704100475646555,5.33274910847346,0.43160541852315265,0.0015563187716907123,0.001217223025984519,0.023356119791666668,24.0,24.0,0.0,-1.4585957527160645,1.9296693801879883,0.012173652648925781,-1.2035142183303833,0.30013829469680786
3,32768,C1_5,158,-6.231659869415699,0.0379746835443038,0.9620253164556962,0.0,0.9620253164556962,0.0,0.023349757036339725,0.028019708443607665,0.0,-0.01311104574089635,-0.049602576030683854,0.0,0.0,0.0,0.0,0.04886624879608093,0.0,0.36798167566894335,,,,,10.410362501939138,-0.004416109916443626,20.830416202545166,0.4293743471304576,0.002339503665401329,0.0017593944060839324,0.048665364583333336,24.0,24.0,0.0,0.13658273220062256,4.587310791015625,0.004175364971160889,-1.20509934425354,0.29966288805007935
4,36864,C1_5,149,-6.9906217186486606,0.006711409395973154,0.9932885906040269,0.0,0.9932885906040269,0.0,0.026674301391176415,0.0320091616694117,0.0,-0.013979045215044868,-0.04301716018219395,0.0,0.0,0.0,0.0,0.05411444573467038,0.0,0.37082566808157935,,,,,3.5995978911717734,-0.0017778108982990186,7.203604241212209,0.42643410464127857,0.004463008635260242,0.004453196819061607,0.10652669270833333,24.0,24.0,0.0,-0.7515153288841248,2.6134650707244873,0.036076247692108154,-1.2064679861068726,0.29925334453582764
5,40960,C1_5,131,-5.060377200597704,0.03816793893129771,0.9618320610687023,0.0,0.9618320610687023,0.0,0.034104125068552094,0.04092495008226252,0.0,-0.01399233740310887,-0.04052927056583486,0.0,0.0,0.0,0.0,0.06420024014332455,0.0,0.3770422258066901,0.65625,0.34375,0.0,78.59375,8.821555038293203,0.003985001666781803,17.635987520217896,0.4237074851989746,0.00838136236355543,0.012946339065213882,0.20670572916666666,24.0,24.0,0.0,0.5620453953742981,4.218348026275635,0.016601264476776123,-1.207514762878418,0.29894059896469116
6,45056,C1_5,139,-5.191832326758892,0.03597122302158273,0.9640287769784173,0.0,0.9640287769784173,0.0,0.0348558886864339,0.04182706642372068,0.0,-0.01248487612678344,-0.042900398910724113,0.0,0.0,0.0,0.0,0.06504670528261638,0.0,0.3744006202168748,,,,,8.540197670459747,0.0010606735401476424,17.07911817232768,0.4221744239330292,0.005121449768921593,0.004088097251345364,0.11995442708333333,24.0,24.0,0.0,-0.004190392792224884,4.225945472717285,0.10536783933639526,-1.2081518173217773,0.29875054955482483
7,49152,C1_5,133,-5.146441526393916,0.03007518796992481,0.9699248120300752,0.0,0.9699248120300752,0.0,0.037553523640235655,0.04506422836828278,0.0,-0.01288125957399655,-0.04241191315453762,0.0,0.0,0.0,0.0,0.06860602045814979,0.0,0.38286200725775643,,,,,8.13654088973999,-0.0031909755198284984,16.280306100845337,0.42105357348918915,0.0023885091880705054,0.00209579285607712,0.044108072916666664,24.0,24.0,0.0,0.08636128157377243,4.085362434387207,0.0624808669090271,-1.2087746858596802,0.2985641360282898
8,53248,C1_5,128,-3.783275768349114,0.0546875,0.9453125,0.0,0.9453125,0.0,0.04085346806168673,0.04902416167402407,0.0,-0.010943375374512085,-0.04104719132749779,0.0,0.0,0.0,0.0,0.07343934340608627,0.0,0.3863486712608619,,,,,10.776690125465393,-0.002520604602371653,21.559261043866474,0.41976724565029144,0.0018312052543478785,0.0020343002239921284,0.033284505208333336,24.0,24.0,0.0,0.4606342911720276,4.733514785766602,0.1746649146080017,-1.209350824356079,0.2983919382095337
9,57344,C1_5,122,-1.2527998851809212,0.10655737704918032,0.8934426229508197,0.0,0.8934426229508197,0.0,0.04693859243416228,0.05632631092099472,0.0,-0.012358853417711358,-0.03739292043026126,0.0,0.0,0.0,0.0,0.08140068823445432,0.0,0.38696217498613805,,,,,18.53005301952362,-0.0017367018153890967,37.06441839536031,0.4189297656218211,0.0024664960449930127,0.0024114085111553627,0.048909505208333336,24.0,24.0,0.0,1.3862557411193848,6.124304294586182,0.1138562560081482,-1.209573745727539,0.2983255982398987
10,61440,C1_5,120,-1.4638207199995725,0.09166666666666666,0.9083333333333333,0.0,0.9083333333333333,0.0,0.047620299283153145,0.057144359139783774,0.0,-0.011885703102688678,-0.03634140356649368,0.0,0.0,0.0,0.0,0.0840009808080655,0.0,0.3946811267302337,0.96875,0.03125,0.0,72.34375,16.904172897338867,0.0003573511882374684,33.808467308680214,0.41846661269664764,0.0003655837108453852,0.00015128724468619717,0.0008951822916666666,24.0,24.0,0.0,0.5464147925376892,5.87788200378418,0.11982995271682739,-1.209898591041565,0.2982286512851715
