update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,closed_approach_penalty_mean,wait_reward_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C2B,59,16.90473626214211,0.22033898305084745,0.7796610169491526,0.0,0.4576271186440678,0.3220338983050847,0.15667950805509462,0.18154681781465115,-0.00012661382716032675,-0.00876992732392294,-0.028477669744997477,-0.001242612388159614,-0.005420924136433314,-0.014566287968294456,0.007079606059759068,0.2225995667176077,0.01821150732075799,0.6392153613746814,0.5625,0.4375,0.0,89.0,44.20220677057902,0.0005791356476644675,88.40413093566895,0.4370722969373067,0.007659698187732526,0.0039603573592709536,0.175048828125,24.0,24.0,0.0,-0.49488943815231323,9.391448020935059,-2.384185791015625e-07,-1.2007999420166016,0.3009534478187561
2,8192,C2B,59,20.858632976788737,0.288135593220339,0.711864406779661,0.0,0.23728813559322035,0.4745762711864407,0.15844352266867645,0.18491103759305588,-0.00019063419493613764,-0.006742012067755431,-0.025474617078017778,-0.0011681747841066682,-0.005776441144007548,-0.013825614054420069,0.007564013824547662,0.22877563176237053,0.01800307753589416,0.6395823653999742,,,,,43.84081188837687,-0.00329408705389748,87.68908150990804,0.4358244091272354,0.0038633262665825896,0.004781058526229269,0.092529296875,24.0,24.0,0.0,0.46509891748428345,9.353057861328125,-2.384185791015625e-07,-1.2010917663574219,0.3008657991886139
3,12288,C2B,54,27.06857716181755,0.35185185185185186,0.6481481481481481,0.0,0.16666666666666666,0.48148148148148145,0.16140581997460685,0.18807168493378412,-0.00014331577588745856,-0.006575951959399428,-0.02510530319998612,-0.0013270816703879974,-0.00560826117043689,-0.016688091431158264,0.008297106050782863,0.2345491812490924,0.01843683724472764,0.6510319301864911,,,,,40.42140404383341,-0.00221620073231558,80.84810860951741,0.4354238361120224,0.0033586392613263647,0.0032218231875352408,0.07674153645833333,24.0,24.0,0.0,1.3180307149887085,8.902132987976074,0.0,-1.2014527320861816,0.3007572591304779
4,16384,C2B,51,33.27493426133323,0.43137254901960786,0.5686274509803921,0.0,0.17647058823529413,0.39215686274509803,0.16341294976882637,0.19064796840510098,-0.00011956078410730697,-0.005886862235823033,-0.02397085073132946,-0.0012368534262350295,-0.005118652454075345,-0.01599776140930416,0.006923644477790473,0.23903981280944164,0.01483979899623011,0.6598803697120275,,,,,39.267104943593345,-0.0023545139313985906,78.5397891998291,0.4345555901527405,0.00220986198898269,0.0006407132326179029,0.038818359375,24.0,24.0,0.0,2.1540422439575195,8.612438201904297,0.0,-1.2018611431121826,0.30063432455062866
5,20480,C2B,51,31.29588937968304,0.39215686274509803,0.6078431372549019,0.0,0.23529411764705882,0.37254901960784315,0.1661156655754894,0.19273044274530549,-8.836243324913083e-05,-0.005859989452521868,-0.02371693338136274,-0.0014013078893185594,-0.0054056347849837025,-0.016311766242061362,0.007938343167911794,0.2396671484246281,0.015959524486849088,0.6660962179686294,0.8125,0.1875,0.0,94.125,40.393261114756264,-0.002610932996806999,80.79261430104573,0.43395789961020154,0.0035249434968136484,0.005049869432089811,0.082763671875,24.0,24.0,0.0,1.6381852626800537,8.849544525146484,2.980232238769531e-07,-1.2020511627197266,0.30057716369628906
