update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C4D,23,45.85570006494706,0.13043478260869565,0.8695652173913043,0.0,0.043478260869565216,0.8260869565217391,0.19794982514576986,0.23753979017492385,-2.3941007893881756e-05,-0.0023515332435354846,-0.018292236099523507,0.0,0.26444742791341014,0.005364895315822122,0.619620714111079,0.375,0.625,0.0,202.25,45.58038202921549,0.011431110828804473,91.1379025777181,-0.7621228694915771,0.01295449386452674,0.0135579436525101,0.2696126302083333,24.0,24.0,0.0,1.296783208847046,9.736771583557129,0.3158050775527954,-1.7999999523162842,0.16529890894889832
2,8192,C4D,21,43.390625167155726,0.09523809523809523,0.9047619047619048,0.0,0.0,0.9047619047619048,0.19758154836017638,0.23709785803221167,-3.158188342058565e-05,-0.0028645247595081988,-0.019179084259903903,0.0,0.2642613157723645,0.005388022865157041,0.6214944440162071,,,,,40.856059074401855,0.0012152875618388255,81.70968755086263,-0.7621228694915771,0.005111756650876487,0.003389022277891248,0.10872395833333333,24.0,24.0,0.0,1.6392672061920166,9.053322792053223,0.40897953510284424,-1.7999999523162842,0.16529890894889832
3,12288,C4D,20,51.31943501741773,0.15,0.85,0.0,0.05,0.8,0.20107323583215475,0.2412878829985857,-3.115712353610433e-05,-0.0033504412093112515,-0.020308739222246006,0.0,0.26717407977770335,0.004572479857133259,0.6263913499033151,,,,,40.25932629903158,0.001729640314200272,80.51519425710042,-0.7621228694915771,0.0031220952502432433,0.005222432026736594,0.06998697916666667,24.0,24.0,0.0,2.2419915199279785,8.788911819458008,0.4235583543777466,-1.7999999523162842,0.16529890894889832
4,16384,C4D,23,43.77251496158647,0.13043478260869565,0.8695652173913043,0.0,0.0,0.8695652173913043,0.1967987641110085,0.2361585169332102,-3.3492154339910485e-05,-0.0031608938827827207,-0.020234181392488608,0.0,0.26114926277293765,0.005618410813910234,0.6151066839811392,,,,,36.93661546707153,0.0011242912150919437,73.87098248799641,-0.7621228694915771,0.004344130758302829,0.0017082667448751938,0.10270182291666667,24.0,24.0,0.0,1.4510365724563599,8.605619430541992,0.5268017649650574,-1.7999999523162842,0.16529890894889832
5,20480,C4D,19,58.96258032949261,0.15789473684210525,0.8421052631578947,0.0,0.05263157894736842,0.7894736842105263,0.1986596621482022,0.2383915945778426,-2.7503132329002256e-05,-0.0031334080601233792,-0.019605352518428848,0.0,0.26378783370785186,0.004187576951315738,0.6202164264304884,0.75,0.25,0.0,226.375,32.54465341567993,0.002589548627535502,65.08412758509319,-0.7621228694915771,0.007337283978207172,0.007532787435290326,0.171142578125,24.0,24.0,0.0,2.4043307304382324,7.872227191925049,0.550125002861023,-1.7999999523162842,0.16529890894889832
