update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C3,25,0.06964988203436097,0.0,1.0,0.0,0.76,0.24,0.12715909029975592,0.15259090835970707,-5.526736218598669e-06,-0.0005015959540833136,0.036932659510803205,0.5392303349622125,0.375,0.5,0.125,201.625,3.127208448946476,8.771668944973499e-05,6.2554622143507,0.15259623527526855,0.014557076309756667,0.014192076502695272,0.1827392578125,32.0,32.0,0.0,0.6806312799453735,2.630521297454834,0.15821319818496704,-1.3432999849319458,0.26098620891571045
2,8192,C3,31,1.9212150023820547,0.0,1.0,0.0,0.9032258064516129,0.0967741935483871,0.1168816042598337,0.14025792511180044,-2.7825289289467033e-06,-0.00019437749433564018,0.034765000149177924,0.5192333018476347,,,,,4.079369202256203,-0.0014279450115282089,8.16278450191021,0.14878307655453682,0.010093520787449961,0.010136748499462556,0.13592529296875,32.0,32.0,0.0,-0.2181054949760437,2.9400856494903564,0.17117983102798462,-1.3457990884780884,0.2603381276130676
3,12288,C3,19,2.227529505294404,0.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.12258966744411737,0.14710760093294084,-1.9885967194568357e-06,-0.00013793491758406161,0.036509621825051,0.5328392415090093,,,,,2.6744525767862797,-0.0030109511280898005,5.356079526245594,0.1440575160086155,0.006806266611420142,0.007097955253811961,0.088134765625,32.0,32.0,0.0,0.9607616662979126,2.4262969493865967,0.2305944561958313,-1.3483976125717163,0.25966477394104004
4,16384,C3,24,3.101935295484339,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.1212209647637792,0.14546515771653504,-2.6674480177462094e-06,-0.00018762613901344592,0.03609403980224124,0.531042644104673,,,,,3.085348166525364,-0.0015723742544651031,6.174925804138184,0.13558784127235413,0.011243612118050805,0.012899983772513224,0.1424560546875,32.0,32.0,0.0,0.25244587659835815,2.588196039199829,0.27606648206710815,-1.353377342224121,0.2583774924278259
5,20480,C3,19,5.100569031736764,0.0,1.0,0.0,0.631578947368421,0.3684210526315789,0.12505078269168735,0.1500609392300248,-8.63021792611107e-06,-0.0003584877106186467,0.03696479625899792,0.5410341822507689,0.75,0.25,0.0,187.5,2.4837325736880302,-0.0006110598333179951,4.969724267721176,0.12962520867586136,0.011718219597696589,0.012370067496249249,0.158935546875,32.0,32.0,0.0,0.4624878168106079,2.3052144050598145,0.4455963969230652,-1.3544166088104248,0.25811058282852173
