update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C3S100,14,75.82811753789913,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.8571428571428571,0.0,0.1522291975270491,0.18267503703245894,0.0,-0.007954163182045906,0.0,0.20299175501617128,0.4874527952529206,1.0,0.0,0.0,499.875,15.584221363067627,-0.019752806052565575,31.207947731018066,-0.7621228694915771,0.015018541249446571,0.011381059244740754,0.267578125,1.0,2.0,1.0,2.676304817199707,5.271978378295898,3.6954879760742188e-06,-1.7999999523162842,0.16529890894889832
2,8192,C3S100,5,205.85247397133395,0.2,0.4,0.4,0.4,0.0,0.15866960721905343,0.19040352866286409,0.0,-0.007101384262673613,0.0,0.21379856494737626,0.507747767530077,,,,,13.148533344268799,0.03151750564575195,26.234031677246094,-0.7621228694915771,0.017621515966311563,0.01132305007922696,0.2861328125,1.0,2.0,1.0,4.2500810623168945,2.836298704147339,4.100799560546875e-05,-1.7999999523162842,0.16529890894889832
3,12288,C3S100,7,153.5290091174183,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.16048417845740914,0.19258101414889098,0.0,-0.007431834555104867,0.0,0.21313256805001402,0.5062143203251708,,,,,13.36817173163096,5.1431357860565186e-05,26.73624046643575,-0.7621228694915771,0.007139117379362385,0.008836233047380423,0.163330078125,24.0,24.0,0.0,4.059676170349121,3.2493340969085693,3.045797348022461e-05,-1.7999999523162842,0.16529890894889832
4,16384,C3S100,5,190.63998520167362,0.4,0.4,0.2,0.4,0.0,0.16153416759334505,0.19384100111201405,0.0,-0.008017088534916667,0.0,0.2150808677635496,0.5107717571377179,,,,,13.742535789807638,0.0004732324741780758,27.48412521680196,-0.7621228694915771,0.004999318925304881,0.004670984139617455,0.12019856770833333,24.0,24.0,0.0,4.412982940673828,2.8878164291381836,1.71661376953125e-05,-1.7999999523162842,0.16529890894889832
5,20480,C3S100,8,138.47924403024112,0.125,0.5,0.375,0.5,0.0,0.16504815936787054,0.19805779124144463,0.0,-0.007576928183005826,0.0,0.2193987382776527,0.5189538310050921,0.875,0.0,0.125,461.875,14.814724246660868,0.0029258394691472254,29.623596986134846,-0.7621228694915771,0.009761070945387473,0.009893301516664602,0.247802734375,24.0,24.0,0.0,4.161221504211426,3.5520179271698,7.092952728271484e-06,-1.7999999523162842,0.16529890894889832
