update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C3_5,20,66.40540489552316,0.5,0.5,0.0,0.4,0.1,0.16152981724007986,0.19383578068809582,-2.842671441612764e-06,-0.010761230740889208,-0.022105337818484262,0.0,0.21599665351452585,0.5177740928475032,0.875,0.125,0.0,240.75,37.29257316589356,0.005871734954416752,74.57340240478516,-0.7621228694915771,0.01256456580304075,0.00822447684186045,0.2587890625,9.0,10.0,2.0,2.8666648864746094,8.121089935302734,1.1920928955078125e-07,-1.7999999523162842,0.16529890894889832
2,8192,C3_5,15,102.87299611316834,0.7333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.2,0.1642991784028709,0.19715901408344505,-6.189895881107074e-06,-0.007969016444308372,-0.01920581649174892,0.0,0.220107265394131,0.5217527190579858,,,,,24.75454632441203,-0.0014461267661924164,49.51198482513428,-0.7621228694915771,0.008201040296019832,0.007665956664520006,0.18815104166666666,24.0,24.0,0.0,4.179055690765381,5.6883320808410645,3.916025161743164e-05,-1.7999999523162842,0.16529890894889832
3,12288,C3_5,21,57.62301986458246,0.38095238095238093,0.6190476190476191,0.0,0.3333333333333333,0.2857142857142857,0.16181793803116307,0.19418152563739569,-1.0136407814570702e-05,-0.008368638501141303,-0.019687326493894947,0.0,0.21653834429896507,0.5154928175529676,,,,,42.64444184303284,-0.0003712136143197616,85.28962643941243,-0.7621228694915771,0.005534424769090644,0.0065039071802554345,0.12679036458333334,24.0,24.0,0.0,2.0322537422180176,9.017200469970703,4.887580871582031e-06,-1.7999999523162842,0.16529890894889832
4,16384,C3_5,15,104.00695767074937,0.7333333333333333,0.26666666666666666,0.0,0.2,0.06666666666666667,0.16364561958471313,0.19637474350165576,-2.7289308200124635e-06,-0.006834399517793803,-0.017891701860862672,0.0,0.21958111970102437,0.5208202909925603,,,,,25.34149678548177,0.0010333496611565351,50.68092679977417,-0.7621228694915771,0.009941633041307796,0.008902956321738506,0.221435546875,24.0,24.0,0.0,4.200952529907227,5.7744269371032715,-5.960464477539062e-07,-1.7999999523162842,0.16529890894889832
5,20480,C3_5,16,88.92900125930649,0.5625,0.4375,0.0,0.125,0.3125,0.16760545162833296,0.20112654195399954,-8.808340862742623e-06,-0.007347819226496691,-0.018574312414757516,0.0,0.22301103892756374,0.5268474417844118,1.0,0.0,0.0,208.375,30.996743122736614,-0.0005436613573692739,61.99457311630249,-0.7621228694915771,0.004718710835732054,0.005260029538476374,0.11653645833333333,24.0,24.0,0.0,3.4405486583709717,7.100126266479492,2.9802322387695312e-05,-1.7999999523162842,0.16529890894889832
