update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,closing_window_penalty_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C5,12,156.80328471377697,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.19823905851808377,0.23788687022170052,-3.671987281995825e-05,-0.0038853323605465596,-0.020631095248838827,0.0,0.0,0.2556142275282234,0.003594108487598155,0.6158989391105933,0.6875,0.3125,0.0,263.4375,24.80468233426412,0.0037633532968660197,49.601837793986,-0.7621228694915771,0.010345504758637011,0.015225698607537197,0.21337890625,24.0,24.0,0.0,5.466593265533447,6.127475261688232,0.5567312240600586,-1.7999999523162842,0.16529890894889832
2,8192,C5,9,185.92810746835502,0.6666666666666666,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.19358774382271804,0.23230529258726162,-3.2236922073934683e-05,-0.003342905040283049,-0.019945207254036715,0.0,0.0,0.24873388851077838,0.002053363557729053,0.5990408918269168,,,,,23.65984805425008,0.003805522787539909,47.312084992726646,-0.7621228694915771,0.011329389179688102,0.01321581893474407,0.21150716145833334,24.0,24.0,0.0,4.990695953369141,5.671810626983643,0.34589922428131104,-1.7999999523162842,0.16529890894889832
3,12288,C5,8,213.38518206115685,0.75,0.25,0.0,0.125,0.125,0.18979950176435523,0.22775940211722626,-1.4908287412254136e-05,-0.003461294317546757,-0.019953971610000266,0.0,0.0,0.24472981404173483,0.003131806292348916,0.5908320222861221,,,,,19.615056832631428,0.003237142188784977,39.223639170328774,-0.7621228694915771,0.011326940698078639,0.01080699756979205,0.2545572916666667,24.0,24.0,0.0,4.632387638092041,4.721053600311279,0.06638962030410767,-1.7999999523162842,0.16529890894889832
4,16384,C5,13,105.95750729200785,0.38461538461538464,0.6153846153846154,0.0,0.15384615384615385,0.46153846153846156,0.1910512714239303,0.22926152570871636,-3.087558511469978e-05,-0.004064911574531345,-0.021224551400279623,0.0,0.0,0.24461798635166074,0.0036302149811594867,0.5913229184006923,,,,,31.909610668818157,0.005861960002221167,63.807497342427574,-0.7621228694915771,0.013685541637338853,0.013134073618857656,0.277099609375,23.0,24.0,3.0,2.935363292694092,7.6504034996032715,0.04095792770385742,-1.7999999523162842,0.16529890894889832
5,20480,C5,12,134.77536677348658,0.5833333333333334,0.4166666666666667,0.0,0.16666666666666666,0.25,0.19617927449871786,0.23541512939846143,-1.5626692038495088e-05,-0.003071335987586828,-0.019628228196541635,0.0,0.0,0.2520177519895299,0.00188992397744135,0.6023856886531576,0.8125,0.1875,0.0,323.0,25.66618323326111,0.00010444223880767822,51.33215745290121,-0.7621228694915771,0.005406475168153217,0.005563686721264578,0.13370768229166666,24.0,24.0,0.0,4.146747589111328,5.920243263244629,0.3067047595977783,-1.7999999523162842,0.16529890894889832
