update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C1,219,-8.232171083762967,0.0,1.0,0.0,1.0,0.0,-0.008072736469330266,-0.00968728376319632,0.0,0.0009153964140290328,0.3555176609110049,0.0,0.875,0.125,129.125,5.027084149420261,-0.013040226564044133,10.083707824349403,0.43238555639982224,0.007341683243566877,0.005977107426360817,0.10015869140625,32.0,32.0,0.0,-3.7472493648529053,2.7325422763824463,-0.0011360645294189453,-1.2061257362365723,0.2993548512458801
2,8192,C1,188,-7.294137362676475,0.02127659574468085,0.9787234042553191,0.0,0.9787234042553191,0.0,-0.0013912189951952314,-0.0016694627942342778,0.0,0.002595943906746925,0.34866464821493537,,,,,7.880732461810112,-0.007496494974475354,15.77982234954834,0.4205787852406502,0.007750392069283407,0.00664825165313232,0.10931396484375,32.0,32.0,0.0,-0.5328731536865234,3.9669246673583984,0.0020017623901367188,-1.2110645771026611,0.297880619764328
3,12288,C1,183,-8.00728977486227,0.0,1.0,0.0,1.0,0.0,0.0013776963332929881,0.001653235599951586,0.0,0.0037767770306072635,0.3616528313451681,,,,,2.2031256444752216,-0.006250144651858136,4.422055259346962,0.4129593074321747,0.0052455297059168515,0.006785341341583262,0.06072998046875,32.0,32.0,0.0,-0.9070999026298523,2.069815158843994,0.10365879535675049,-1.2136934995651245,0.29709815979003906
4,16384,C1,164,-6.67975756383482,0.03048780487804878,0.9695121951219512,0.0,0.9695121951219512,0.0,0.007254493293658015,0.008705391952389618,0.0,0.004915512185013427,0.35595187595868083,,,,,8.14731240272522,-0.0014399381761904806,16.300764113664627,0.40742871165275574,0.0052235097900847904,0.00627941197490145,0.06512451171875,32.0,32.0,0.0,0.285136342048645,4.142613887786865,0.04535907506942749,-1.217400312423706,0.29599863290786743
5,20480,C1,153,-4.16282770844842,0.0915032679738562,0.9084967320261438,0.0,0.9084967320261438,0.0,0.012680046414061508,0.01521605569687381,0.0,0.006336697263573398,0.36163948658699496,0.875,0.125,0.0,45.875,17.43481096625328,-0.00018005026504397392,34.8731906414032,0.401079386472702,0.004810850008652778,0.005328763339093712,0.0594482421875,32.0,32.0,0.0,1.456284761428833,6.041053295135498,0.10554826259613037,-1.2191033363342285,0.29549503326416016
