update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,4096,C3S85,9,122.64825201081537,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.15599579381523654,0.18719495257828384,0.0,-0.007576183791424322,0.0,0.20855168432109394,0.49766171496321476,0.75,0.0,0.25,368.125,14.052391052246094,-0.017007973045110703,28.138798713684082,-0.7621228694915771,0.016459234553622082,0.020886971178697422,0.28515625,1.0,2.0,1.0,4.116646766662598,3.6896719932556152,5.704164505004883e-05,-1.7999999523162842,0.16529890894889832
2,8192,C3S85,11,100.64435156239797,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.5454545454545454,0.0,0.1506855069892481,0.18082260838709768,0.0,-0.009087388499804349,0.0,0.2016957127720218,0.4840835352247268,,,,,14.162975351015726,-0.0028009877229730287,28.331552505493164,-0.7621228694915771,0.005282120444462635,0.005460020714963321,0.12825520833333334,24.0,24.0,0.0,3.260334014892578,4.236666679382324,-2.384185791015625e-05,-1.7999999523162842,0.16529890894889832
3,12288,C3S85,11,107.0058859281648,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.5454545454545454,0.0,0.1518757870362606,0.1822509444435127,0.0,-0.008637401209679197,0.0,0.2036494833383074,0.4879637378106736,,,,,15.477997422218323,-0.0038090450689196587,30.96361295382182,-0.7621228694915771,0.005237282533926191,0.0056927076511783525,0.138916015625,24.0,24.0,0.0,3.5303354263305664,4.331890106201172,2.5391578674316406e-05,-1.7999999523162842,0.16529890894889832
4,16384,C3S85,9,106.36111696771663,0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556,0.0,0.15059855199069716,0.1807182623888366,0.0,-0.008668126354997908,0.0,0.20377226011636368,0.4878094107555171,,,,,14.867065787315369,-0.0011267093941569328,29.736384868621826,-0.7621228694915771,0.007611209051295494,0.012729157048549192,0.16731770833333334,24.0,24.0,0.0,3.6272950172424316,4.104832172393799,2.300739288330078e-05,-1.7999999523162842,0.16529890894889832
5,20480,C3S85,8,107.3673781865153,0.25,0.625,0.125,0.625,0.0,0.15262157414690591,0.18314588897628709,0.0,-0.00839675405780834,0.0,0.2056415852109012,0.4913917018684515,0.875,0.0,0.125,333.625,13.746166586875916,-0.0022374045802280307,27.49680797259013,-0.7621228694915771,0.006341565197847861,0.006809586466260953,0.15372721354166666,24.0,24.0,0.0,3.476229190826416,3.9588208198547363,4.392862319946289e-05,-1.7999999523162842,0.16529890894889832
